Rusalka Beach-South	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.41508616702854, 28.50897324111429	6	6.5	9	9	8.5	8	3	9.5	9	2	0	1	9	8	0	8
Galata Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.157938, 27.943925	3.8	6.8	6.1	5.6	4.6	0.3	2.6	7.1	6.9	1	0	1.2	4.1	2.9	0	8.1
Chernomorets Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.121037, 27.928706	4.4	7.5	5	6.5	4	3.5	2.5	6.5	9	1	0	0	4	7	1.5	7.6
Sunny Day Beach	Europe	Bulgaria	Varna	St. Konstantin and Helena	NULL	NULL	Black Sea	43.240494, 28.017302	4.6	7.8	8.1	3	3.9	9.2	2.7	7	9.8	0.8	0	0.1	1.6	6.8	0	8.9
Fichoza Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.143644, 27.940187	3.6	7	3.5	3.5	1.5	5.5	2	7	8	1	0	0	4	3.5	1.5	6.5
Pasha Dere Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.106375, 27.923641	4.1	7.7	5.7	5.5	5	0.1	2.5	7.2	8	1	0	0.5	5.3	7.9	4.2	1.6
Papaz Kulak Beach	Europe	Bulgaria	Varna	Avren	NULL	NULL	Black Sea	43.050925, 27.898735	4.6	7.5	5	6	9.5	0	2	9	9	1.5	0	0	6	7	5	1.5
Kamchia Beach	Europe	Bulgaria	Varna	Avren	NULL	NULL	Black Sea	43.0326352071219, 27.888074039365165	4.3	7.3	3.9	5	3.7	6.3	1.1	6.4	9.4	1	0	0.3	3.8	5.5	4.7	5.5
Kamchia Sands Beach	Europe	Bulgaria	Varna	Dolni Chiflik	NULL	NULL	Black Sea	43.007910965132375, 27.88924241118366	4	8.5	5	5	9.8	0	1	7	10	1	0	0	3.5	8	1	0
Shkorpilovtsi Beach	Europe	Bulgaria	Varna	Dolni Chiflik	NULL	NULL	Black Sea	42.960895, 27.897511	4.2	8	4	3.5	5	5	1	7.5	9	1	0	0	2	7	4	6
Durankulak Beach-South	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	NULL	4.2	8	6	3.5	8.5	3	1	8	9	1	0	0	1	7	5	2.5
Krapets Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.64439851245509, 28.57262635283405	4.1	8	7	4.5	7.5	0	1	9	9	1	0	0	2	7	3	2
Ezerets Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.58928142764236, 28.57162964239251	4.1	8	5.5	4.5	8.5	0	1.5	8.5	9	1	0	0	3	7	3	2
Camping Dobrudja Beach	Europe	Bulgaria	Dobrich	Shabla	NULL	NULL	Black Sea	43.57000649753469, 28.58562004461419	5.2	8	7.5	4.5	5	7	1.5	8.5	9	1	0	0	2	8.5	7.5	8.5
Kabakum Beach	Europe	Bulgaria	Varna	Golden Sands	NULL	NULL	Black Sea	43.2547052496177, 28.030381320859306	3.5	7.1	4.3	2.9	0.8	8.1	1.8	5.5	8.5	0.5	0	0	1.2	2.7	0	8.4
Asparuhovo Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.177074, 27.912367	3.7	6.6	6.3	4.1	2.2	6.5	0.6	3.4	8.7	0.9	0	0	1.8	6.7	0	7
South Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.197918127289206, 27.921805499936454	4.2	8	7.5	1.5	0.5	9.5	1	7	8	0.5	0	0	0	10	0	10
Officers Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.209115, 27.938426	3.6	7.2	5.7	1.6	0.3	7.8	1.4	3.4	8.4	0.5	0	0	1.9	7.4	0	8.1
Rapongi Beach	Europe	Bulgaria	Varna	Varna	NULL	NULL	Black Sea	43.20936736532042, 27.94060242071282	4	8	8	3	1	8	1.5	6	7	1	0	0	1	7.5	0	7.5
Ras Gamila Beaches	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.972180, 34.425959	7	8	9.4	4.2	7	9	9.4	8.8	5.3	8	9.1	9	0.9	8.3	0	8.2
Ras Nasrani Beaches	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.964653, 34.417546	6.5	8	9	4.3	6.6	9	8.9	8.5	1.9	8	8.4	8.2	0	8.2	0	8.1
Montazah-Laguna Beach	Africa	Egypt	Sinai Peninsula	Sharm-El-Sheikh	NULL	NULL	Red Sea	27.976362373007422, 34.42562591924798	3.8	5	1.5	3	8.5	1	6.5	6	5	4	4	4	1	5	0	2
Irakli Beach	Europe	Bulgaria	Bourgas	Nesebar	NULL	NULL	Black Sea	42.74776853197876, 27.88958573131822	4.6	7.6	6.3	5.3	5.6	5	1.7	8.1	7.5	0.9	0	0.3	2.7	8.2	5.3	4.2
Elenite Beach	Europe	Bulgaria	Bourgas	Nesebar	NULL	NULL	Black Sea	42.70293823536686, 27.81262886550394	4.8	8	8.5	5.5	3	9	2	8	7.5	1	0	0	2	8.5	0	9.5
